"Actinomyces","Adlercreutzia","Agathobacter","Akkermansia","Alistipes","Allisonella","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Anaerovoracaceae Family XIII AD3011 group","Anaerovoracaceae Family XIII UCG_001","Bacilli RF39","Bacteroides","Barnesiella","Barnesiellaceae uncultured","Bifidobacterium","Bilophila","Blautia","Butyricicoccaceae UCG-008","Butyricicoccaceae UCG-009","Butyricicoccus","Butyricimonas","Candidatus Soleaferrea","Christensenella","Christensenellaceae R-7 group","Christensenellaceae uncultured","Clostridia UCG-014","Clostridia class","Clostridia vadinBB60 group","Clostridium sensu stricto 1","Colidextribacter","Collinsella","Coprobacter","Coprococcus","Coriobacteriales Incertae Sedis uncultured","Defluviitaleaceae UCG-011","Desulfovibrio","Desulfovibrionaceae uncultured","Dialister","Dielma","Dorea","Eggerthella","Eggerthellaceae uncultured","Eisenbergiella","Enterorhabdus","Erysipelatoclostridium","Erysipelotrichaceae UCG-003","Erysipelotrichaceae uncultured","Escherichia-Shigella","Faecalibacterium","Flavonifractor","Fournierella","Fusicatenibacter","Gastranaerophilales","Gordonibacter","Haemophilus","Holdemanella","Holdemania","Intestinibacter","Intestinimonas","Izemoplasmatales","Lachnoclostridium","Lachnospira","Lachnospiraceae","Lachnospiraceae CAG-56","Lachnospiraceae FCS020 group","Lachnospiraceae GCA-900066575","Lachnospiraceae NC2004 group","Lachnospiraceae ND3007 group","Lachnospiraceae NK4A136 group","Lachnospiraceae UCG-004","Lachnospiraceae UCG-008","Lachnospiraceae UCG-010","Lachnospiraceae family","Lachnospiraceae uncultured","Lactobacillus","Lactococcus","Marvinbryantia","Merdibacter","Methanobrevibacter","Monoglobus","Moryella","Muribaculaceae","Negativibacillus","Odoribacter","Olsenella","Oscillibacter","Oscillospira","Oscillospiraceae NK4A214 group","Oscillospiraceae UCG-002","Oscillospiraceae UCG-003","Oscillospiraceae UCG-005","Oscillospiraceae UCG-007","Oscillospiraceae family","Oscillospiraceae uncultured","Oscillospirales UCG-010","Oscillospirales class","Oscillospirales order uncultured","Oxalobacter","Paludicola","Papillibacter","Parabacteroides","Paraprevotella","Parasutterella","Peptococcaceae uncultured","Peptococcus","Peptostreptococcaceae family","Phascolarctobacterium","Phocea","Prevotella","Rhodospirillales uncultured","Romboutsia","Roseburia","Rothia","Ruminococcaceae CAG-352","Ruminococcaceae DTU089","Ruminococcaceae Incertae Sedis","Ruminococcaceae UBA1819","Ruminococcaceae family","Ruminococcaceae uncultured","Ruminococcus","Senegalimassilia","Slackia","Streptococcus","Subdoligranulum","Sutterella","Terrisporobacter","Turicibacter","Tyzzerella","Veillonella","[Clostridium] methylpentosum group","[Eubacterium] brachy group","[Eubacterium] coprostanoligenes group","[Eubacterium] eligens group","[Eubacterium] fissicatena group","[Eubacterium] hallii group","[Eubacterium] ruminantium group","[Eubacterium] siraeum group","[Eubacterium] ventriosum group","[Eubacterium] xylanophilum group","[Ruminococcus] gauvreauii group","[Ruminococcus] torques group"
0.051432511,0.032616518,0.078453348,0.284373633,0.129947474,0.033270251,0.353263786,0.037618345,0.106328238,0.056585543,0.036148499,0.162984515,0.025244444,0.281072592,0.101931751,0.031071799,0.119526202,0.008748883,0.067567282,0.112595861,0.025439073,0.050142225,0.016974742,0.032068796,0.072565612,0.107314854,0.225551848,0.056873348,0.01591274,0.078395375,0.042059645,0.046853115,0.168102291,0.035780055,0.019374367,0.015853817,0.030520158,0.241859385,0.326551193,0.040597217,0.05433665,0.185103729,0,0.048700125,0.066662731,0.003545648,0.081374669,0.044933683,0.148372539,0.280156423,0.017988008,0.072705433,0.036389854,0.338091569,0.011626834,0.122020195,0.053811209,0.017144896,0.069784625,0.195392243,0.012884463,0.051432511,0.032616518,0.078453348,0.284373633,0.129947474,0.033270251,0.353263786,0.037618345,0.106328238,0.056585543,0.036148499,0.162984515,0.025244444,0.281072592,0.101931751,0.031071799,0.119526202,0.008748883,0.067567282,0.112595861,0.025439073,0.050142225,0.016974742,0.032068796,0.072565612,0.107314854,0.225551848,0.056873348,0.01591274,0.078395375,0.042059645,0.046853115,0.168102291,0.035780055,0.019374367,0.015853817,0.030520158,0.241859385,0.326551193,0.040597217,0.05433665,0.185103729,0,0.048700125,0.066662731,0.003545648,0.081374669,0.044933683,0.148372539,0.280156423,0.017988008,0.072705433,0.036389854,0.338091569,0.011626834,0.122020195,0.053811209,0.017144896,0.069784625,0.195392243,0.012884463,0.051432511,0.032616518,0.078453348,0.284373633,0.129947474,0.033270251,0.353263786,0.037618345,0.106328238,0.056585543,0.036148499,0.162984515,0.025244444,0.281072592,0.101931751,0.031071799,0.119526202,0.008748883,0.067567282,0.112595861,0.025439073
0.001290947,0.002130821,0.002114165,0,0.006970886,0,0,0,0,0,0.003138294,0,0.001511111,0,0.010557626,0.005896838,0.003664941,0,0,0,0,0,0.001453365,0,0,0.001096961,0,0,0,0.002734268,0,0,0,0.001175675,0,0,0,0.001190424,0.002139577,0.002599536,0,0,0,0,0,0,0,0.002073655,0,0,0,0,0.004103035,0.001946551,0.004313925,0,0,0,0,0.001958089,0.00415969,0.001290947,0.002130821,0.002114165,0,0.006970886,0,0,0,0,0,0.003138294,0,0.001511111,0,0.010557626,0.005896838,0.003664941,0,0,0,0,0,0.001453365,0,0,0.001096961,0,0,0,0.002734268,0,0,0,0.001175675,0,0,0,0.001190424,0.002139577,0.002599536,0,0,0,0,0,0,0,0.002073655,0,0,0,0,0.004103035,0.001946551,0.004313925,0,0,0,0,0.001958089,0.00415969,0.001290947,0.002130821,0.002114165,0,0.006970886,0,0,0,0,0,0.003138294,0,0.001511111,0,0.010557626,0.005896838,0.003664941,0,0,0,0
0.032009623,0.12173718,0.061056064,0.025940114,0.030539121,0.350581634,0.041845566,0.041576129,0.043997146,0.088400034,0.060115768,0.073443639,0.084844444,0.072951788,0.03402628,0.159020218,0.123814562,0.080605328,0.130543536,0.124866057,0.063604149,0.242201894,0.161916185,0.201012227,0.062923277,0.006795805,0.025077002,0.099010072,0.485633676,0.082633491,0.02725265,0.037756468,0.125009151,0.049295115,0.101845432,0.170331332,0.207586958,0.039995354,0.021545674,0.025657132,0.063991077,0.163799895,0.06065057,0.058828474,0.041690773,0.162427459,0.106477987,0.103548105,0.133057352,0.064207578,0.067600766,0.029864104,0.053693387,0.051989132,0.034026945,0.129271432,0.063022363,0.07809957,0.051695356,0.24271966,0.064862959,0.032009623,0.12173718,0.061056064,0.025940114,0.030539121,0.350581634,0.041845566,0.041576129,0.043997146,0.088400034,0.060115768,0.073443639,0.084844444,0.072951788,0.03402628,0.159020218,0.123814562,0.080605328,0.130543536,0.124866057,0.063604149,0.242201894,0.161916185,0.201012227,0.062923277,0.006795805,0.025077002,0.099010072,0.485633676,0.082633491,0.02725265,0.037756468,0.125009151,0.049295115,0.101845432,0.170331332,0.207586958,0.039995354,0.021545674,0.025657132,0.063991077,0.163799895,0.06065057,0.058828474,0.041690773,0.162427459,0.106477987,0.103548105,0.133057352,0.064207578,0.067600766,0.029864104,0.053693387,0.051989132,0.034026945,0.129271432,0.063022363,0.07809957,0.051695356,0.24271966,0.064862959,0.032009623,0.12173718,0.061056064,0.025940114,0.030539121,0.350581634,0.041845566,0.041576129,0.043997146,0.088400034,0.060115768,0.073443639,0.084844444,0.072951788,0.03402628,0.159020218,0.123814562,0.080605328,0.130543536,0.124866057,0.063604149
0.002229818,0,0,0.002783558,0,0,0.003454985,0.002405712,0,0.004844988,0.001673757,0.009408182,0,0,0,0.003661223,0.005384063,0.00152383,0.001562005,0,0.003013373,0,0.012826302,0.007838044,0.008301259,0,0.010331109,0.012283399,0,0.011308152,0.015168141,0.004817682,0.01839877,0,0,0.002462309,0.025168927,0.00364386,0.012251462,0,0.00237004,0.030495011,0,0.002866197,0.004899935,0,0,0,0.010802359,0.008835808,0.006339524,0.001366024,0,0.008110629,0.022584664,0,0.004731069,0.05926025,0,0,0.008619018,0.002229818,0,0,0.002783558,0,0,0.003454985,0.002405712,0,0.004844988,0.001673757,0.009408182,0,0,0,0.003661223,0.005384063,0.00152383,0.001562005,0,0.003013373,0,0.012826302,0.007838044,0.008301259,0,0.010331109,0.012283399,0,0.011308152,0.015168141,0.004817682,0.01839877,0,0,0.002462309,0.025168927,0.00364386,0.012251462,0,0.00237004,0.030495011,0,0.002866197,0.004899935,0,0,0,0.010802359,0.008835808,0.006339524,0.001366024,0,0.008110629,0.022584664,0,0.004731069,0.05926025,0,0,0.008619018,0.002229818,0,0,0.002783558,0,0,0.003454985,0.002405712,0,0.004844988,0.001673757,0.009408182,0,0,0,0.003661223,0.005384063,0.00152383,0.001562005,0,0.003013373
0.00105623,0,0.018085025,0.001537585,0.001679261,0.011712081,0.003689789,0.006402297,0,0.002184446,0.002789595,0.010577407,0.012022222,0.006512781,0.004053082,0.005054432,0.019722674,0.003770164,0.004137203,0.011660889,0.003388428,0.007717296,0.011372936,0,0.007590489,0,0.004774127,0.023746178,0.024069789,0.00281239,0.00577834,0.004448275,0.006881238,0.002049628,0.00844045,0.012527539,0.016892658,0.004021311,0.005028687,0.01035949,0.001428995,0.004168855,0.005966036,0.012338934,0.006635575,0.009568294,0.0090331,0.01630647,0.006946912,0.021550494,0.009462442,0.004357145,0.005256604,0.005150249,0.004544616,0.002012218,0.002296514,0.008360645,0.008483621,0.01541474,0.005781264,0.00105623,0,0.018085025,0.001537585,0.001679261,0.011712081,0.003689789,0.006402297,0,0.002184446,0.002789595,0.010577407,0.012022222,0.006512781,0.004053082,0.005054432,0.019722674,0.003770164,0.004137203,0.011660889,0.003388428,0.007717296,0.011372936,0,0.007590489,0,0.004774127,0.023746178,0.024069789,0.00281239,0.00577834,0.004448275,0.006881238,0.002049628,0.00844045,0.012527539,0.016892658,0.004021311,0.005028687,0.01035949,0.001428995,0.004168855,0.005966036,0.012338934,0.006635575,0.009568294,0.0090331,0.01630647,0.006946912,0.021550494,0.009462442,0.004357145,0.005256604,0.005150249,0.004544616,0.002012218,0.002296514,0.008360645,0.008483621,0.01541474,0.005781264,0.00105623,0,0.018085025,0.001537585,0.001679261,0.011712081,0.003689789,0.006402297,0,0.002184446,0.002789595,0.010577407,0.012022222,0.006512781,0.004053082,0.005054432,0.019722674,0.003770164,0.004137203,0.011660889,0.003388428
0.004987751,0,0,0,0.003729522,0,0,0.006431398,0,0.00656734,0,0,0,0,0,0,0,0,0,0.002825927,0,0,0.008452095,0,0,0,0.011806982,0.036634245,0.008109831,0,0.004472657,0,0.024401552,0.008531447,0.006920369,0.005961381,0.022992155,0,0,0.001478547,0.005994807,0,0,0.005597909,0.002172501,0,0,0.01172827,0,0,0,0,0.001284656,0,0,0,0,0,0,0,0,0.004987751,0,0,0,0.003729522,0,0,0.006431398,0,0.00656734,0,0,0,0,0,0,0,0,0,0.002825927,0,0,0.008452095,0,0,0,0.011806982,0.036634245,0.008109831,0,0.004472657,0,0.024401552,0.008531447,0.006920369,0.005961381,0.022992155,0,0,0.001478547,0.005994807,0,0,0.005597909,0.002172501,0,0,0.01172827,0,0,0,0,0.001284656,0,0,0,0,0,0,0,0,0.004987751,0,0,0,0.003729522,0,0,0.006431398,0,0.00656734,0,0,0,0,0,0,0,0,0,0.002825927,0
0.325861487,0,0.106421458,0,0.01927245,0,0,0.203340835,0,0,0.255898831,0.049678463,0,0,0.011767013,0.011696475,0,0,0,0,0,0,0,0,0.221009294,0.179446704,0.023280287,0.131705337,0,0.09622671,0.068965038,0.451230587,0,0,0,0,0,0,0,0.260678392,0.034661834,0,0.432698497,0.252990174,0.351484739,0,0.015737554,0.06130748,0,0,0.40740548,0,0.002451334,0.016626789,0.043439144,0,0,0,0,0,0.219652772,0.325861487,0,0.106421458,0,0.01927245,0,0,0.203340835,0,0,0.255898831,0.049678463,0,0,0.011767013,0.011696475,0,0,0,0,0,0,0,0,0.221009294,0.179446704,0.023280287,0.131705337,0,0.09622671,0.068965038,0.451230587,0,0,0,0,0,0,0,0.260678392,0.034661834,0,0.432698497,0.252990174,0.351484739,0,0.015737554,0.06130748,0,0,0.40740548,0,0.002451334,0.016626789,0.043439144,0,0,0,0,0,0.219652772,0.325861487,0,0.106421458,0,0.01927245,0,0,0.203340835,0,0,0.255898831,0.049678463,0,0,0.011767013,0.011696475,0,0,0,0,0
0.005750583,0.002289698,0.006902876,0.001100168,0,0.035903815,0.00332081,0.007799162,0,0.007365503,0.007555153,0.006661863,0.007,0.010576064,0.004069425,0.022906947,0.02684475,0.015855709,0.00237467,0.009412753,0.00565169,0.002602062,0.023013969,0.01330228,0.015100514,0.003424658,0.003092916,0.031675967,0.024612806,0.01802664,0.012334533,0.003801813,0.022717845,0,0.006747027,0.010130027,0.003968074,0.004122933,0.00352962,0.012176266,0.004862067,0.026326155,0.011618504,0.003706723,0.009563729,0.010806794,0.016466855,0.003527907,0.013574017,0.010125244,0.002217272,0.002991121,0.007957003,0.002352082,0.008304881,0.00152276,0.012348468,0.04871469,0.025368764,0,0.014012514,0.005750583,0.002289698,0.006902876,0.001100168,0,0.035903815,0.00332081,0.007799162,0,0.007365503,0.007555153,0.006661863,0.007,0.010576064,0.004069425,0.022906947,0.02684475,0.015855709,0.00237467,0.009412753,0.00565169,0.002602062,0.023013969,0.01330228,0.015100514,0.003424658,0.003092916,0.031675967,0.024612806,0.01802664,0.012334533,0.003801813,0.022717845,0,0.006747027,0.010130027,0.003968074,0.004122933,0.00352962,0.012176266,0.004862067,0.026326155,0.011618504,0.003706723,0.009563729,0.010806794,0.016466855,0.003527907,0.013574017,0.010125244,0.002217272,0.002991121,0.007957003,0.002352082,0.008304881,0.00152276,0.012348468,0.04871469,0.025368764,0,0.014012514,0.005750583,0.002289698,0.006902876,0.001100168,0,0.035903815,0.00332081,0.007799162,0,0.007365503,0.007555153,0.006661863,0.007,0.010576064,0.004069425,0.022906947,0.02684475,0.015855709,0.00237467,0.009412753,0.00565169
0.001261608,0.027579182,0.002343412,0.025993134,0.00210884,0.005478872,0.016285388,0.024804051,0.051175059,0.003850786,0,0.002311259,0.012266667,0.018097461,0.01052494,0,0.001511316,0.003362934,0.005097625,0.001953987,0.00406094,0.042505737,0.00451531,0.005441842,0.005458179,0.007678724,0.001386037,0.001459841,0.002656058,0,0,0.005417969,0.004050658,0.039161421,0.01012054,0.001965528,0.004217496,0.014749648,0.002548413,0.007866254,0.001916944,0.002297794,0.007195551,0.016936616,0.005206919,0.01388535,0.010875545,0,0.011726245,0.002843101,0,0.002567182,0.001533722,0.006326291,0,0.017185432,0.002070627,0,0.010070879,0.003562055,0,0.001261608,0.027579182,0.002343412,0.025993134,0.00210884,0.005478872,0.016285388,0.024804051,0.051175059,0.003850786,0,0.002311259,0.012266667,0.018097461,0.01052494,0,0.001511316,0.003362934,0.005097625,0.001953987,0.00406094,0.042505737,0.00451531,0.005441842,0.005458179,0.007678724,0.001386037,0.001459841,0.002656058,0,0,0.005417969,0.004050658,0.039161421,0.01012054,0.001965528,0.004217496,0.014749648,0.002548413,0.007866254,0.001916944,0.002297794,0.007195551,0.016936616,0.005206919,0.01388535,0.010875545,0,0.011726245,0.002843101,0,0.002567182,0.001533722,0.006326291,0,0.017185432,0.002070627,0,0.010070879,0.003562055,0,0.001261608,0.027579182,0.002343412,0.025993134,0.00210884,0.005478872,0.016285388,0.024804051,0.051175059,0.003850786,0,0.002311259,0.012266667,0.018097461,0.01052494,0,0.001511316,0.003362934,0.005097625,0.001953987,0.00406094
0.015799434,0.034214634,0.030973789,0.001921981,0.008747779,0,0.015949953,0.02542488,0,0.033354804,0.027733222,0.064864791,0.02,0.007708712,0.006455514,0.043999482,0.168530623,0.030187589,0.002205805,0.007963021,0.001849409,0.001858616,0.020770425,0.046311641,0.008328081,0.013778896,0.022343429,0.055638098,0.001251299,0.069743369,0.109885683,0.006156782,0,0.037101389,0.021147795,0.041276081,0.001224434,0.014720613,0.041510514,0.008223811,0.018646638,0.020154937,0,0.012481824,0.003164295,0.006036801,0.036068426,0.026984448,0.056605785,0.002906516,0,0.059822417,0.024460903,0,0.034234567,0.001178326,0.092274678,0.004994092,0.080703867,0,0.013624747,0.015799434,0.034214634,0.030973789,0.001921981,0.008747779,0,0.015949953,0.02542488,0,0.033354804,0.027733222,0.064864791,0.02,0.007708712,0.006455514,0.043999482,0.168530623,0.030187589,0.002205805,0.007963021,0.001849409,0.001858616,0.020770425,0.046311641,0.008328081,0.013778896,0.022343429,0.055638098,0.001251299,0.069743369,0.109885683,0.006156782,0,0.037101389,0.021147795,0.041276081,0.001224434,0.014720613,0.041510514,0.008223811,0.018646638,0.020154937,0,0.012481824,0.003164295,0.006036801,0.036068426,0.026984448,0.056605785,0.002906516,0,0.059822417,0.024460903,0,0.034234567,0.001178326,0.092274678,0.004994092,0.080703867,0,0.013624747,0.015799434,0.034214634,0.030973789,0.001921981,0.008747779,0,0.015949953,0.02542488,0,0.033354804,0.027733222,0.064864791,0.02,0.007708712,0.006455514,0.043999482,0.168530623,0.030187589,0.002205805,0.007963021,0.001849409
